id,Nazwa produktu,wartosc energetyczna kcal,woda g,bialko ogolem g,bialko zwierzece g,bialko roslinne g,tluszcz g,weglowodany g ,sod mg,potas mg,wapn mg,fosfor mg,magnez mg,zelazo mg,cynk mg,miedz mg,mangan mg
645,Zupa kalafiorowa I,27,92.3,1.6,0.7,0.9,0.5,4.9,27,130,15,22,8,0.3,0.17,0.04,0.09
646,Zupa kalafiorowa II,34,93,1.8,1.1,0.7,2.3,2.1,33,68,10,14,4,0.2,0.11,0.01,0.06
647,Zupa ogorkowa,42,90.8,1.4,0.8,0.6,2,5,84,112,9,20,10,0.2,0.18,0.03,0.05
648,Zupa owocowa z jablek,42,89.1,0.1,0,0.1,0.1,10.6,1,38,2,3,1,0.1,0.05,0.01,0.03
649,Zupa pomidorowa,11,96.3,1,0.6,0.4,0.1,2.1,22,85,9,10,5,0.3,0.11,0.02,0.04
650,Zupa pomidorowa z makaronem,35,92.7,1.5,1.1,0.4,1.8,3.3,26,54,10,12,4,0.2,0.1,0.01,0.03
651,Zupa pomidorowa z ryzem,37,92.1,1.5,1,0.5,1.8,3.9,25,54,10,13,3,0.2,0.13,0.01,0.05
652,Zupa pomidorowa zabielana I,17,95.3,1.2,0.8,0.4,0.6,2.3,24,92,15,14,5,0.3,0.13,0.02,0.04
653,Zupa pomidorowa zabielana II,28,94.3,1.3,1,0.3,1.8,1.9,25,51,10,10,3,0.2,0.09,0.01,0.02
654,Zupa selerowa,38,91.3,1.6,1,0.6,1.8,4.5,35,121,13,25,7,0.2,0.17,0.02,0.06
655,Zupa selerowa z grzankami,51,87.5,1.8,0.6,1.2,1.9,8.1,75,104,15,28,8,0.4,0.24,0.04,0.1
656,Zupa szczawiowa,40,92.3,1.6,1.4,0.2,2.5,2.9,30,62,31,22,4,0.2,0.15,0.01,0.04
657,Zupa szpinakowa z ziemniakami,40,89.4,2.2,1.2,1,0.9,6.6,33,180,39,38,16,0.6,0.28,0.05,0.1
658,Zupa z fasoli szparagowej,43,87.2,2.2,0.8,1.4,0.6,8.9,124,233,31,37,15,0.9,0.31,0.08,0.16
659,Zupa z porow z makaronem,58,85.2,2.4,0.7,1.7,1.4,10.3,30,122,20,32,9,0.5,0.31,0.06,0.13
660,Zupa z zielonego groszku,57,83.4,3.2,0.7,2.5,1.2,11.2,97,191,24,50,19,0.9,0.49,0.1,0.25
661,Zupa ziemniaczana,38,90.2,1.4,0.6,0.8,1.1,6.6,24,177,8,25,10,0.3,0.18,0.05,0.09
662,Zupa ziemniaczana ze smietana,47,89.4,1.5,0.8,0.7,1.9,6.5,22,151,9,24,8,0.2,0.15,0.03,0.06
663,zurek,124,70.6,2.2,0.2,2,3.1,23.5,7,276,13,52,17,0.5,0.38,0.07,0.22
664,Zupa neapolitanska,63,86.7,2.2,1.1,1.1,2.6,8.2,38,42,36,31,5,0.2,0.28,0.02,0.06
665,Kasza manna na wywarze jarzynowym,21,95.2,0.5,0,0.5,0.8,3.4,5,30,4,8,2,0.1,0.07,0.01,0.03
666,Kasza jeczmienna na mleku,63,86.2,2.6,2.1,0.5,2.2,8.5,29,109,78,70,11,0.2,0.27,0.03,0.07
667,Kasza manna na mleku,66,85.4,2.7,2.1,0.6,2.1,9.3,28,96,76,60,9,0.1,0.26,0.02,0.04
668,Kluski lane na mleku,69,85.8,3.6,3.2,0.4,3.1,6.8,43,129,104,83,11,0.2,0.37,0.02,0.03
669,Makaron na mleku,66,85.8,2.9,2.2,0.7,2.3,8.5,30,102,78,64,10,0.2,0.28,0.02,0.05
670,Platki owsiane na mleku,62,86.3,2.7,1.7,1,2.3,8.2,24,106,68,81,17,0.4,0.42,0.06,0.35
671,Ryz na mleku,66,85.6,2.7,2.2,0.5,2.1,9.1,29,99,77,65,9,0.1,0.34,0.03,0.09
672,Dorsz w jarzynach,117,74,15.6,14.9,0.7,4.9,3.9,109,439,23,149,33,0.8,0.58,0.09,0.11
673,Filety z dorsza po grecku,152,72.8,10.6,9.7,0.9,10.8,4.6,70,338,19,103,25,0.7,0.44,0.08,0.09
674,"Filety z dorsza smazone, panierowane",273,48.8,19.1,17.3,1.8,15.8,14.6,167,404,15,186,36,1.1,0.85,0.1,0.17
675,Karp w galarecie (z warzywami),136,67.6,26.1,25.7,0.4,2.9,2.1,97,295,20,138,16,0.7,0.75,0.08,0.1
676,Karp z wody (bez warzyw),102,77.1,16,15.6,0.4,3.7,2,41,414,21,199,16,0.8,0.9,0.12,0.11
677,Kotlet mielony z dorsza,259,54.9,14.9,13.6,1.3,17.8,10.9,144,333,28,149,29,0.8,0.65,0.08,0.12
678,Pulpety z dorsza,112,73,14.2,13,1.2,2.6,8.8,131,348,17,140,28,0.9,0.64,0.08,0.12
679,Dorsz z rusztu,172,66.7,22.1,22,0.1,9.1,0.6,91,461,17,231,33,0.6,0.65,0.08,0.03
680,losos smazony saute,380,42.3,21.1,20.6,0.5,31.4,4.1,53,391,15,279,31,1.1,0.86,0.07,0.03
681,losos z rusztu,283,55.3,20.7,20.6,0.1,22.3,0.6,54,403,19,278,32,1.2,0.85,0.08,0.03
